"pattern","col"
"pd;dd;pq;","#B63679FF"
"pd;dd;qp;","#CF406FFF"
"pd;dd;pp;","#e68f51"
"qd;dd;pq;","#21908CFF"
"qd;dd;pp;","#8e35c1"
"qd;dd;od;","#21A685FF"
"pd;dp;dd;","#F46A5CFF"
"pd;dp;cd;","#d9f087"
"pd;dp;dc;","#FB8861FF"
"qd;dp;pq;","#2BB07FFF"
"qd;dp;cd;","#3BBB75FF"
"pd;dc;pp;","#FEC287FF"
"pd;dc;pq;","#FDE0A1FF"
"pd;dc;dp;","#3f79af"
"qd;dc;pq;","#51C56AFF"
"qd;dc;cp;","#69CD5BFF"
"qd;dc;od;","#85D54AFF"
"qd;dc;pp;","#A3DA37FF"
"qd;dc;dp;","#fc9527"
"qd;dc;dq;","#E0E318FF"
"qd;dc;oc;","#FDE725FF"
