"pattern","move1","col"
"qddc","qd","#8cc665"
"qdoc","qd","#e9aabd"
"qded","qd","#a94689"
"qdqp","qd","#f1c6d0"
"qdde","qd","#df90b0"
"qdec","qd","#cc6d9e"
"qdqo","qd","#D23777"
"qeqp","qe","#949494"
"qepq","qe","#BABABA"
"qeec","qe","#A5A5A5"
"qecd","qe","#979797"
"qedc","qe","#C0C0C0"
"qepo","qe","#B0B0B0"
"qeqo","qe","#B4B4B4"
"qeoq","qe","#8A8A8A"
"qepc","qe","#878787"
"pddp","pd","#FFAF56"
"qddd","qd","#CCDEF1"
"qdpp","qd","#6297d1"
"qddp","qd","#FF3800"
"qdce","qd","#7a2c72"
"qdnd","qd","#D543D2"
"qdcd","qd","#CD3BA0"
"qdop","qd","#C83FC6"
"pddc","pd","#44a340"
"pdec","pd","orchid4"
"pddd","pd","#9BC4DF"
"pded","pd","#C1C1C1"
"pdde","pd","#969696"
"pdcp","pd","#A8A8A8"
"pddo","pd","#858585"
"pdcd","pd","#BCBCBC"
"pedd","pe","#ABABAB"
"pedp","pe","#9F9F9F"
"peqp","pe","#BEBEBE"
"pepp","pe","#9D9D9D"
"pepc","pe","#8C8C8C"
"peqo","pe","#BDBDBD"
"pdcq","pd","#00C991"
"pdcc","pd","#FF254D"
"qdcc","qd","#FFA8A0"
"qdcq","qd","#888888"
"qdcp","qd","pink"
"qcdp","qc","#B2001F"
"qcdc","qc","#9E9E9E"
"qccd","qc","#C3C3C3"
"qcdd","qc","#2163A9"
"qccp","qc","#C8C8C8"
"qccq","qc","#989898"
"qcce","qc","#C5C5C5"
"qedd","qe","#818181"
"qedp","qe","#8E8E8E"
"qepp","qe","#919191"
"qeqq","qe","#C4C4C4"
"qecp","qe","#ADADAD"
"qedq","qe","#CBCBCB"
"jjpd","jj","#828282"
"pdco","pd","#A4A4A4"
"qddo","qd","#A3A3A3"
"qdpo","qd","#9B9B9B"
"qdod","qd","#838383"
"qdqq","qd","#B9B9B9"
"qddq","qd","#8B8B8B"
"qdpq","qd","#B7B7B7"
"qdoq","qd","#929292"
"qdco","qd","#848484"
